Race,Gender,Body_Size,Age_Group,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Spectacles,Wash_Item,cluster_label
malay,male,moderate,20-29,yes,young,big,Primary,casual,Primary,short sleeve,BW,short,no,clothes,1
indian,male,thin,30-39,no,nokids,big,Secondary,casual,BW,short sleeve,Primary,long,no,clothes,0
malay,female,moderate,30-39,no,nokids,big,Primary,casual,Primary,short sleeve,BW,long,no,clothes,2
indian,male,thin,50-59,no,nokids,big,BW,casual,BW,short sleeve,Primary,short,no,clothes,3
indian,male,moderate,30-39,no,nokids,big,Primary,casual,Primary,short sleeve,BW,long,no,clothes,0
indian,male,fat,50-59,no,nokids,small,BW,casual,Others,short sleeve,Primary,long,no,clothes,0
indian,female,fat,40-49,no,nokids,big,Others,traditional,Primary,short sleeve,BW,long,no,clothes,0
indian,male,thin,50-59,no,nokids,big,Primary,casual,BW,short sleeve,Others,long,no,clothes,3
indian,male,thin,30-39,no,nokids,small,Secondary,casual,BW,short sleeve,BW,short,no,clothes,0
chinese,male,moderate,30-39,no,nokids,small,Others,casual,BW,short sleeve,Primary,short,no,clothes,4
foreigner ,female,fat,40-49,no,nokids,big,Primary,casual,BW,short sleeve,Others,short,no,clothes,0
indian,male,moderate,30-39,no,nokids,big,Primary,casual,Others,short sleeve,Primary,long,no,clothes,0
malay,female,moderate,40-49,no,nokids,big,Primary,casual,Primary,long sleeve,Primary,long,no,clothes,2
malay,male,moderate,30-39,no,nokids,big,Primary,casual,Primary,short sleeve,BW,long,yes,clothes,4
malay,female,moderate,50-59,yes,young,big,Primary,casual,Others,long sleeve,Others,long,yes,clothes,2
indian,male,thin,30-39,no,nokids,big,Others,formal,Primary,long sleeve,Others,long,no,clothes,4
malay,female,thin,50-59,yes,toddler,big,Primary,casual,Others,long sleeve,Others,long,no,clothes,2
malay,male,fat,30-39,yes,toddler,big,Primary,casual,Others,short sleeve,Others,long,no,clothes,0
malay,female,fat,50-59,yes,nokids,big,Primary,traditional,Secondary,long sleeve,Secondary,long,yes,clothes,2
malay,female,moderate,50-59,yes,young,big,Others,casual,Secondary,long sleeve,Others,long,no,clothes,2
indian,male,fat,30-39,no,nokids,big,BW,casual,Primary,short sleeve,Others,long,no,clothes,0
indian,male,moderate,50-59,yes,baby,big,Others,formal,Primary,long sleeve,BW,long,no,clothes,2
malay,female,fat,30-39,yes,young,big,BW,casual,Primary,short sleeve,Primary,long,no,blankets,1
chinese,female,thin,30-39,no,nokids,small,BW,casual,Others,short sleeve,BW,long,yes,blankets,3
chinese,female,moderate,40-49,no,nokids,big,BW,casual,BW,short sleeve,BW,long,no,clothes,0
chinese,female,moderate,40-49,no,nokids,small,Secondary,casual,BW,short sleeve,BW,long,no,clothes,0
chinese,male,thin,40-49,no,nokids,big,BW,casual,BW,short sleeve,Others,long,no,clothes,0
chinese,male,thin,30-39,yes,young,big,Primary,casual,Others,short sleeve,BW,short,yes,blankets,4
indian,male,fat,40-49,no,nokids,big,Primary,casual,BW,short sleeve,Primary,long,no,clothes,0
indian,male,thin,40-49,no,nokids,big,Primary,casual,BW,short sleeve,Primary,long,no,clothes,0
malay,female,fat,30-39,no,nokids,big,Secondary,casual,Secondary,long sleeve,BW,long,no,clothes,2
chinese,male,thin,40-49,yes,toddler,big,Primary,casual,BW,short sleeve,BW,short,yes,clothes,4
foreigner ,male,moderate,40-49,no,nokids,big,Primary,casual,BW,short sleeve,BW,long,no,clothes,0
malay,female,fat,50-59,no,nokids,big,Secondary,casual,Secondary,long sleeve,BW,long,no,clothes,2
chinese,male,thin,40-49,no,nokids,big,Primary,casual,Secondary,short sleeve,BW,long,no,clothes,0
malay,female,thin,40-49,no,nokids,small,BW,casual,BW,short sleeve,Others,long,no,clothes,3
malay,male,fat,30-39,no,nokids,big,Primary,formal,BW,short sleeve,Others,long,yes,clothes,0
chinese,female,thin,30-39,no,nokids,small,Secondary,casual,Others,short sleeve,Others,short,no,clothes,4
malay,female,thin,40-49,no,nokids,big,Primary,formal,Secondary,long sleeve,BW,long,no,clothes,2
malay,female,fat,30-39,no,nokids,big,Primary,traditional,Secondary,long sleeve,Secondary,long,yes,clothes,2
malay,female,fat,30-39,no,nokids,big,Primary,traditional,Others,long sleeve,Others,long,no,clothes,2
malay,female,fat,30-39,no,nokids,big,Primary,casual,Others,long sleeve,BW,long,no,blankets,2
